file,job_id,classes,samples,pca_dim,feature_depth,vqc_iterations,seed,native_best_accuracy,native_best_runtime_sec,quantum_kernel_accuracy,quantum_kernel_runtime_sec,quantum_kernel_required_speedup,qnn_vqc_accuracy,qnn_vqc_runtime_sec,qnn_vqc_required_speedup
data/raw/perlmutter/digits_expanded/digits_55421323_c0v1_128s_8p_d1_i4_seed11.json,55421323,"0,1",128,8,1,4,11,1.0,0.014789345994358882,1.0,15.186042869987432,1026.8231520027905,0.78125,0.5902476390183438,39.91032728854154
data/raw/perlmutter/digits_expanded/digits_55421323_c0v1_128s_8p_d3_i4_seed13.json,55421323,"0,1",128,8,3,4,13,1.0,0.014733798976521939,0.9375,5.891898796020541,399.8899947942267,0.84375,1.2280034879804589,83.34601890098146
data/raw/perlmutter/digits_expanded/digits_55421323_c0v1_256s_16p_d1_i2_seed11.json,55421323,"0,1",256,16,1,2,11,1.0,0.01727240500622429,0.96875,6.571503480983665,380.4625631818821,0.90625,2.164662066992605,125.32487897386304
data/raw/perlmutter/digits_expanded/digits_55421323_c0v1_256s_8p_d2_i4_seed13.json,55421323,"0,1",256,8,2,4,13,1.0,0.01668027599225752,0.875,6.78447901099571,406.7366159975327,0.890625,1.5985095569922123,95.83232062432253
data/raw/perlmutter/digits_expanded/digits_55421323_c3v8_128s_16p_d2_i2_seed11.json,55421323,"3,8",128,16,2,2,11,1.0,0.014456503005931154,0.65625,7.0761808099923655,489.48081061437745,0.78125,1.419788718019845,98.21107618054933
data/raw/perlmutter/digits_expanded/digits_55421323_c3v8_128s_8p_d1_i4_seed11.json,55421323,"3,8",128,8,1,4,11,0.9375,0.01431569000124,0.9375,6.073444920009933,424.25093861936534,0.71875,0.5926838500017766,41.40099778288293
data/raw/perlmutter/digits_expanded/digits_55421323_c3v8_128s_8p_d3_i4_seed13.json,55421323,"3,8",128,8,3,4,13,1.0,0.014024449017597362,0.625,6.987947053014068,498.2689191030499,0.59375,1.3250879460247234,94.4841358374972
data/raw/perlmutter/digits_expanded/digits_55421323_c3v8_256s_16p_d1_i2_seed11.json,55421323,"3,8",256,16,1,2,11,0.96875,0.018042890005744994,0.859375,6.109320891991956,338.5999077778949,0.671875,2.0567288940073922,113.9911008354268
data/raw/perlmutter/digits_expanded/digits_55421323_c3v8_256s_8p_d2_i4_seed13.json,55421323,"3,8",256,8,2,4,13,0.984375,0.017360839992761612,0.78125,7.180264975002501,413.5897213496711,0.8125,1.8118345240072813,104.36329836359896
data/raw/perlmutter/digits_expanded/digits_55421323_c4v9_128s_16p_d2_i2_seed11.json,55421323,"4,9",128,16,2,2,11,1.0,0.014456894976319745,0.875,7.10539958399022,491.488635397075,0.78125,1.494193800026551,103.35509820566767
data/raw/perlmutter/digits_expanded/digits_55421323_c4v9_128s_8p_d1_i4_seed11.json,55421323,"4,9",128,8,1,4,11,1.0,0.013928061991464347,1.0,5.871489010023652,421.55821919962204,0.78125,0.6073487969988491,43.60612390805382
data/raw/perlmutter/digits_expanded/digits_55421323_c4v9_128s_8p_d3_i4_seed13.json,55421323,"4,9",128,8,3,4,13,0.96875,0.01392627798486501,0.9375,6.073486959998263,436.11702757900497,0.90625,1.2016321599949151,86.2852343821401
data/raw/perlmutter/digits_expanded/digits_55421323_c4v9_256s_16p_d1_i2_seed11.json,55421323,"4,9",256,16,1,2,11,1.0,0.01693389000138268,0.9375,6.622821763012325,391.09866442214764,0.796875,2.072388161002891,122.38110444993309
data/raw/perlmutter/digits_expanded/digits_55421323_c4v9_256s_8p_d2_i4_seed13.json,55421323,"4,9",256,8,2,4,13,0.984375,0.016612709005130455,0.9375,6.041044812009204,363.63995842842763,0.78125,1.5807771529944148,95.15468864868625
data/raw/perlmutter/digits_expanded/digits_55421323_c5v8_128s_16p_d2_i2_seed11.json,55421323,"5,8",128,16,2,2,11,0.9375,0.014647855976363644,0.75,6.342331352992915,432.98700937715046,0.6875,1.3029566890036222,88.9520412479563
data/raw/perlmutter/digits_expanded/digits_55421323_c5v8_128s_8p_d1_i4_seed11.json,55421323,"5,8",128,8,1,4,11,0.9375,0.01460177599801682,0.8125,5.774025918013649,395.43312531282936,0.6875,0.5636268989765085,38.599886688650685
data/raw/perlmutter/digits_expanded/digits_55421323_c5v8_128s_8p_d3_i4_seed13.json,55421323,"5,8",128,8,3,4,13,1.0,0.014322706003440544,0.71875,5.941220638982486,414.81132389056296,0.65625,1.2072416699957103,84.28865814223313
data/raw/perlmutter/digits_expanded/digits_55421323_c5v8_256s_16p_d1_i2_seed11.json,55421323,"5,8",256,16,1,2,11,0.96875,0.01707432299735956,0.828125,6.369053812988568,373.0194054530598,0.65625,2.1537104769959114,126.1373863742047
data/raw/perlmutter/digits_expanded/digits_55421323_c5v8_256s_8p_d2_i4_seed13.json,55421323,"5,8",256,8,2,4,13,0.984375,0.01658353299717419,0.8125,6.407368262996897,386.36931370949145,0.671875,1.7975042609905358,108.39091171325363
data/raw/perlmutter/digits_expanded/digits_55422136_c0v1_128s_12p_d1_i3_seed13.json,55422136,"0,1",128,12,1,3,13,1.0,0.014187745982781053,0.96875,6.307611837983131,444.5816724966996,0.875,0.6182037059916183,43.57307402753762
data/raw/perlmutter/digits_expanded/digits_55422136_c0v1_128s_4p_d2_i4_seed11.json,55422136,"0,1",128,4,2,4,11,1.0,0.014630090998252854,1.0,12.137101873988286,829.5985223494314,0.9375,0.4348923969955649,29.72588462009569
data/raw/perlmutter/digits_expanded/digits_55422136_c0v1_256s_12p_d2_i3_seed11.json,55422136,"0,1",256,12,2,3,11,1.0,0.01636910400702618,0.90625,7.943088414991507,485.2488206796207,0.890625,2.096567064989358,128.08074675861548
data/raw/perlmutter/digits_expanded/digits_55422136_c0v1_256s_4p_d1_i4_seed11.json,55422136,"0,1",256,4,1,4,11,1.0,0.015905398002360016,1.0,6.759692273015389,424.993594753957,0.9375,0.5683624560188036,35.73393485246147
data/raw/perlmutter/digits_expanded/digits_55422136_c0v1_256s_4p_d3_i4_seed13.json,55422136,"0,1",256,4,3,4,13,1.0,0.017731006984831765,0.9375,6.414179418003187,361.7493029860224,0.796875,1.0741592240228783,60.58083587366373
data/raw/perlmutter/digits_expanded/digits_55422136_c3v8_128s_12p_d1_i3_seed13.json,55422136,"3,8",128,12,1,3,13,1.0,0.014854988985462114,0.84375,6.273431276989868,422.3114054900601,0.5625,0.6187892790185288,41.65531725564448
