nodes,density,seed,edges,method,objective,best_observed_ratio,runtime_sec,solver_status,mip_gap,milp_message
50,0.1,17,115,greedy,83.86618413299263,0.9180213949655246,0.0001979389926418662,,,
50,0.1,17,115,local_search_16x,90.6348549665573,0.992113053062641,0.2558248889981769,,,
50,0.1,17,115,simulated_annealing,91.1305601301334,0.9975391726656996,0.20576247602002695,,,
50,0.1,17,115,scipy_highs_milp,91.35536992157154,1.0,2.086952357989503,0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,0.1,31,125,greedy,102.07273436431277,0.9809899802098923,0.00022979799541644752,,,
50,0.1,31,125,local_search_16x,102.07273436431277,0.9809899802098923,0.2712948409898672,,,
50,0.1,31,125,simulated_annealing,103.87864230032709,0.9983460116853355,0.2262844920041971,,,
50,0.1,31,125,scipy_highs_milp,104.05074101008995,1.0,3.2081621660036035,0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,0.1,43,132,greedy,98.85960255665516,0.9599635725020355,0.00023092998890206218,,,
50,0.1,43,132,local_search_16x,101.76173000712656,0.9881443112786673,0.30100414500338957,,,
50,0.1,43,132,simulated_annealing,101.76173000712656,0.9881443112786673,0.23604638798860833,,,
50,0.1,43,132,scipy_highs_milp,102.98266037219402,1.0,3.920567922992632,0,9.9628224407839e-05,Optimization terminated successfully. (HiGHS Status 7: Optimal)
50,0.25,17,306,greedy,195.20955776958414,0.9448165886044914,0.0003651200095191598,,,
50,0.25,17,306,local_search_16x,204.84571640816188,0.9914557113819689,0.6537499100086279,,,
50,0.25,17,306,simulated_annealing,206.61106094454973,1.0,0.49548966001020744,,,
50,0.25,17,306,scipy_highs_milp,198.9537504430611,0.9629385258152093,10.007803032000083,1,0.33391378773340574,Time limit reached. (HiGHS Status 13: Time limit reached)
50,0.25,31,295,greedy,197.85845162781976,0.9463009477065205,0.00037140201311558485,,,
50,0.25,31,295,local_search_16x,206.83363549849776,0.9892267107092503,0.6731705959828105,,,
50,0.25,31,295,simulated_annealing,209.08618141760783,1.0,0.4867800629872363,,,
50,0.25,31,295,scipy_highs_milp,193.69879575309687,0.9264064915233315,10.00645313700079,1,0.3431101289209444,Time limit reached. (HiGHS Status 13: Time limit reached)
50,0.25,43,294,greedy,189.50016909127984,0.9460628633019526,0.00038803298957645893,,,
50,0.25,43,294,local_search_16x,200.13577289648308,0.9991601762866655,0.6470439780096058,,,
50,0.25,43,294,simulated_annealing,200.30399293962935,1.0,0.4837112950044684,,,
50,0.25,43,294,scipy_highs_milp,188.82966657997457,0.9427154387126317,10.006287408003118,1,0.3516308462091153,Time limit reached. (HiGHS Status 13: Time limit reached)
75,0.1,17,274,greedy,194.28637398798324,0.9434765856222496,0.0004174679925199598,,,
75,0.1,17,274,local_search_16x,205.55210111349098,0.9981842295231205,1.380185456975596,,,
75,0.1,17,274,simulated_annealing,205.92601549284433,1.0,0.7068630900175776,,,
75,0.1,17,274,scipy_highs_milp,198.9888265602484,0.9663122266703744,10.005203327018535,1,0.22717094211032104,Time limit reached. (HiGHS Status 13: Time limit reached)
75,0.1,31,285,greedy,200.35304582543486,0.9095507036503953,0.000354110001353547,,,
75,0.1,31,285,local_search_16x,220.27694005549878,1.0,1.4194025549804792,,,
75,0.1,31,285,simulated_annealing,220.27694005549878,1.0,0.6782936000090558,,,
75,0.1,31,285,scipy_highs_milp,217.31649072354588,0.9865603302315393,10.005872674024431,1,0.18431432689237964,Time limit reached. (HiGHS Status 13: Time limit reached)
75,0.1,43,303,greedy,203.44436768345636,0.8919497925391205,0.00036485999589785933,,,
75,0.1,43,303,local_search_16x,226.80396610286132,0.9943639768256277,1.6644964709994383,,,
75,0.1,43,303,simulated_annealing,228.08948371893183,1.0,0.7393166550027672,,,
75,0.1,43,303,scipy_highs_milp,220.5307369282413,0.9668606080935983,10.005186235997826,1,0.21729547102399574,Time limit reached. (HiGHS Status 13: Time limit reached)
75,0.25,17,709,greedy,453.1887230115519,0.9515687602920947,0.0007903330260887742,,,
75,0.25,17,709,local_search_16x,475.22449226935964,0.9978376733740301,3.838506999978563,,,
75,0.25,17,709,simulated_annealing,476.2543096438354,1.0,1.7177860279916786,,,
75,0.25,17,709,scipy_highs_milp,378.66292125393755,0.7950855532144556,10.007734023005469,1,0.7375824599581075,Time limit reached. (HiGHS Status 13: Time limit reached)
