workload,label,cases,measured_native_median_us,quality_gap_median,measured_deadline_projected_ratio_median_x,launch_free_deadline_median_us,launch_free_roofline_time_median_us,launch_free_deadline_shrink_median_x,launch_free_deadline_shrink_p90_x,launch_free_projected_ratio_median_x,a100_launch_floor_10us_deadline_median_us,a100_launch_floor_10us_roofline_time_median_us,a100_launch_floor_10us_deadline_shrink_median_x,a100_launch_floor_10us_deadline_shrink_p90_x,a100_launch_floor_10us_projected_ratio_median_x
ml,ML,2048,2094.0885005984455,0.3125,216.61588718427868,0.011938064516129032,0.011938064516129032,141306.92880662897,1290395.5419196894,27574905.680081505,10.01193806451613,10.01193806451613,209.0775560359577,1463.4434577094055,34679.18661807962
chemistry,Chem.,224,169.61799701675773,0.020307038999395566,203.9509161633552,0.0026425806451612906,0.0026425806451612906,64186.49789452502,72838.53445727572,12785012.69363119,10.002642580645162,10.002642580645162,16.95731859348487,19.243084997474302,3377.6501379450538
optimization,Opt.,768,24.16201459709555,0.25000000000000044,7193.9947336411915,0.0003303225806451613,0.0003303225806451613,76632.808746321,134696.84139029897,549973885.4018078,10.000330322580645,10.000330322580645,2.41609920415614,3.2799135587869532,19189.2660100744
simulation,Sim.,512,2082.9584973398596,0.018772807472259442,8.56806127873524,0.024278709677419356,0.024278709677419356,70044.46007964884,121765.876410033,604074.8291130147,10.02427870967742,10.02427870967742,207.5467149331588,880.8686571026975,1388.5798099442518
