file,workload,family,quality_metric,native_runtime_sec,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_55453129_chem_4q_grid9_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017997701070271432,10.217524400999537,56771.27518178876,-1.705732892552902,-0.9019600519043551,0.8037728406485469,168,63,84,21,55453129,10.23133410999435,17,72,4,3,synthetic,"0,1,2",,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_chem_4q_grid9_seed17.json,ok
practical_55453129_chem_h2_grid21_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001515320036560297,6.3738534309959505,42062.754251334845,-1.85727503020238,-1.8539259190122395,0.0033491111901404746,1944,486,972,486,55453129,6.383845067000948,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_chem_h2_grid21_seed23.json,ok
practical_55453129_chem_h2_grid25_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00045371399028226733,86.38127963599982,190387.07530763987,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,55453129,86.3939003959822,17,72,4,3,synthetic,"0,1,2",,1,25,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_chem_h2_grid25_seed17.json,ok
practical_55453129_chem_h2_grid25_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015152199193835258,12.259908881998854,80911.74571534708,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,55453129,12.2702880819852,23,72,4,3,synthetic,"0,1,2",,1,25,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_chem_h2_grid25_seed23.json,ok
practical_55453129_qaoa_chordal_4n_grid11_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.331498010084033e-05,6.429852803994436,193001.8503547673,4,3.229815686445298,0.19254607838867555,1573,1210,484,121,55453129,6.438911100995028,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_chordal_4n_grid11_seed17.json,ok
practical_55453129_qaoa_chordal_4n_grid7_seed23.json,optimization,optimization_qaoa,approximation_ratio,3.1912000849843025e-05,7.613490718009416,238577.6671865082,4,3.2070111141556907,0.19824722146107732,637,490,196,49,55453129,7.628177748003509,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_chordal_4n_grid7_seed23.json,ok
practical_55453129_qaoa_chordal_4n_grid9_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.189197741448879e-05,7.254982585000107,227486.13203595547,4,3.1457154773853633,0.21357113065365918,1053,810,324,81,55453129,7.264453727984801,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_chordal_4n_grid9_seed17.json,ok
practical_55453129_qaoa_chordal_5n_grid11_seed23.json,optimization,optimization_qaoa,approximation_ratio,6.449400098063052e-05,7.477079128992045,115934.49026736047,6,4.589396242968677,0.2351006261718872,2057,1694,605,121,55453129,7.486964501003968,23,72,4,3,synthetic,"0,1,2",,1,21,1,,5,chordal,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_chordal_5n_grid11_seed23.json,ok
practical_55453129_qaoa_chordal_5n_grid7_seed17.json,optimization,optimization_qaoa,approximation_ratio,6.329198367893696e-05,5.81474110900308,91871.68375855751,6,4.521153579257492,0.2464744034570847,833,686,245,49,55453129,5.82434088800801,17,72,4,3,synthetic,"0,1,2",,1,21,1,,5,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_chordal_5n_grid7_seed17.json,ok
practical_55453129_qaoa_chordal_5n_grid9_seed17.json,optimization,optimization_qaoa,approximation_ratio,6.515599670819938e-05,5.968130011984613,91597.55530581223,6,4.469198918953913,0.2551335135076811,1377,1134,405,81,55453129,5.977795660000993,17,72,4,3,synthetic,"0,1,2",,1,21,1,,5,chordal,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_chordal_5n_grid9_seed17.json,ok
practical_55453129_qaoa_ladder_4n_grid11_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.090998507104814e-05,5.8330296949716285,188710.20744798548,4,2.9045084971874733,0.2738728757031317,1452,968,484,121,55453129,5.842816917982418,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ladder_4n_grid11_seed17.json,ok
practical_55453129_qaoa_ladder_4n_grid7_seed23.json,optimization,optimization_qaoa,approximation_ratio,3.125000512227416e-05,7.676085029001115,245634.68066537398,4,2.749999999999999,0.3125000000000002,588,392,196,49,55453129,7.696870988002047,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ladder_4n_grid7_seed23.json,ok
practical_55453129_qaoa_ladder_4n_grid9_seed23.json,optimization,optimization_qaoa,approximation_ratio,2.9897986678406596e-05,7.693510882003466,257325.38330281604,4,2.9999999999999982,0.25000000000000044,972,648,324,81,55453129,7.708294868993107,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ladder_4n_grid9_seed23.json,ok
practical_55453129_qaoa_ladder_5n_grid11_seed17.json,optimization,optimization_qaoa,approximation_ratio,5.3884024964645505e-05,6.374724171997514,118304.52859043307,5,3.5925466511522917,0.2814906697695416,1815,1210,605,121,55453129,6.3843620760017075,17,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ladder,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ladder_5n_grid11_seed17.json,ok
practical_55453129_qaoa_ladder_5n_grid7_seed23.json,optimization,optimization_qaoa,approximation_ratio,5.439500091597438e-05,7.421609781013103,136439.18845552538,5,3.414322820287427,0.3171354359425146,735,490,245,49,55453129,7.431735955993645,23,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ladder,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ladder_5n_grid7_seed23.json,ok
practical_55453129_qaoa_ladder_5n_grid9_seed17.json,optimization,optimization_qaoa,approximation_ratio,5.571701331064105e-05,5.845420992991421,104912.6764997477,5,3.6919417382415882,0.2616116523516824,1215,810,405,81,55453129,5.861182502005249,17,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ladder,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ladder_5n_grid9_seed17.json,ok
practical_55453129_qaoa_ring_4n_grid11_seed23.json,optimization,optimization_qaoa,approximation_ratio,3.1249976018443704e-05,7.121201775007648,227878.63167654024,4,2.904508497187473,0.2738728757031318,1452,968,484,121,55453129,7.1380311909888405,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ring,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ring_4n_grid11_seed23.json,ok
practical_55453129_qaoa_ring_4n_grid7_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.081900649704039e-05,6.909649385022931,224200.91269608182,4,2.749999999999999,0.3125000000000002,588,392,196,49,55453129,6.9312395000015385,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ring,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ring_4n_grid7_seed17.json,ok
practical_55453129_qaoa_ring_4n_grid9_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.0479015549644828e-05,6.704520424013026,219971.6855386149,4,2.999999999999998,0.25000000000000056,972,648,324,81,55453129,6.7141483680170495,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ring,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ring_4n_grid9_seed17.json,ok
practical_55453129_qaoa_ring_5n_grid11_seed23.json,optimization,optimization_qaoa,approximation_ratio,5.447497824206948e-05,6.981174271000782,128153.77805161598,4,3.63063562148434,0.09234109462891504,1815,1210,605,121,55453129,6.9908361620036885,23,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ring,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ring_5n_grid11_seed23.json,ok
practical_55453129_qaoa_ring_5n_grid7_seed17.json,optimization,optimization_qaoa,approximation_ratio,5.63180074095726e-05,6.205523151002126,110187.192985584,4,3.4375,0.140625,735,490,245,49,55453129,6.2160985020163935,17,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ring,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ring_5n_grid7_seed17.json,ok
practical_55453129_qaoa_ring_5n_grid9_seed23.json,optimization,optimization_qaoa,approximation_ratio,5.56070008315146e-05,7.541732918994967,135625.60120524935,4,3.749999999999998,0.06250000000000056,1215,810,405,81,55453129,7.554389367986005,23,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ring,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453129_qaoa_ring_5n_grid9_seed23.json,ok
