case_id,digits_classes,ml_samples,ml_features,ml_depth,seed,quantum_runtime_sec,previous_native_runtime_sec,previous_required_speedup,combined_model,combined_runtime_sec,combined_quality,combined_required_speedup,production_model,production_runtime_sec,production_quality,production_required_speedup
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,"0,1,2",128,4,1,17,13.845152707013767,0.0001646980526857078,84063.85188678812,suite_previous_selected,0.0001646980526857078,1.0,84063.85188678812,torch_mlp_amp_pca,2.429839816002641,1.0,5.697969312969197
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,"0,1,2",128,4,1,23,7.63214188197162,0.00013516104081645608,56467.0250825887,suite_previous_selected,0.00013516104081645608,1.0,56467.0250825887,xgboost_gpu_hist_pca,0.08510687004309148,0.96875,89.67715389024762
