record_id,workload,mode,conditional_projected_native_ratio,conditional_first_target,conditional_first_target_gain,factory_utility,shot_fabric_utility,logical_cycle_utility,decoder_utility,host_feedback_utility,shot_lane_evidence,effective_shot_lanes
practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid17_r0_seed17,chemistry,aggregate_ready,19244721.902073704,factory,9.990181625337119,9.990181625337119,1.000097788162974,1.0000927877561545,1.0000049994789932,1.0000005010756965,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid25_r2_seed2023,chemistry,aggregate_ready,39921670.87641028,factory,9.990181625337117,9.990181625337117,1.0000977881629742,1.0000927877561545,1.0000049994789935,1.0000005010756965,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17,ml,aggregate_ready,1399043.3430189572,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23,ml,aggregate_ready,1704779.0755845602,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31,ml,aggregate_ready,1619309.6435349819,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43,ml,aggregate_ready,1471832.0274253231,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017,ml,aggregate_ready,1357741.851376185,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023,ml,aggregate_ready,19188.021003400634,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031,ml,aggregate_ready,277820.62716227234,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043,ml,aggregate_ready,19288.930060908082,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017,ml,aggregate_ready,1624916.3330557337,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2023,ml,aggregate_ready,280346.99202559184,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031,ml,aggregate_ready,285750.4177842397,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2043,ml,aggregate_ready,1309798.5388795792,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3017,ml,aggregate_ready,274383.6611429039,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3023,ml,aggregate_ready,1642909.4854280825,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3031,ml,aggregate_ready,284614.5916334325,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r3_seed3043,ml,aggregate_ready,1703015.9558752326,factory,9.99230571717209,9.99230571717209,1.000074499175653,1.00007199902332,1.0000024997923542,1.0000025055682562,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_qaoa_chordal_5n_grid7_r0_seed43,optimization,aggregate_ready,5532510.933275319,factory,9.993836221510357,9.993836221510357,1.0000610318002587,1.000060386604849,1.0000006451174945,1.000000646856037,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_qaoa_chordal_5n_grid7_r2_seed2043,optimization,aggregate_ready,5552374.247001198,factory,9.993836221510357,9.993836221510357,1.0000610318002587,1.000060386604849,1.0000006451174945,1.000000646856037,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_qaoa_ladder_6n_grid7_r0_seed17,optimization,aggregate_ready,14673125.367789203,factory,9.99399161336066,9.99399161336066,1.0000595147176947,1.0000589086258045,1.0000006060204885,1.0000006078823456,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_qaoa_ladder_6n_grid7_r2_seed2017,optimization,aggregate_ready,14502335.044304777,factory,9.99399161336066,9.99399161336066,1.0000595147176947,1.0000589086258045,1.0000006060204885,1.0000006078823456,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_qaoa_ring_4n_grid7_r1_seed1031,optimization,aggregate_ready,12619584.97850405,factory,9.994043597582396,9.994043597582396,1.0000585995531153,1.0000575995031422,1.0000009999347783,1.000001002248692,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_qaoa_ring_4n_grid7_r3_seed3031,optimization,aggregate_ready,13695712.168740785,factory,9.994043597582396,9.994043597582396,1.0000585995531153,1.0000575995031422,1.0000009999347783,1.000001002248692,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_sim_tfim_4q_4steps_r0_seed23,simulation,aggregate_ready,24437.46074893326,factory,9.994019227437986,9.994019227437986,1.0,1.000059076484712,1.0000003845899583,1.0000003854847315,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_sim_tfim_4q_4steps_r1_seed1023,simulation,aggregate_ready,25215.18317215242,factory,9.994019227437986,9.994019227437986,1.0,1.000059076484712,1.0000003845899583,1.0000003854847315,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_sim_tfim_4q_4steps_r2_seed2023,simulation,aggregate_ready,24918.706609602574,factory,9.994019227437986,9.994019227437986,1.0,1.000059076484712,1.0000003845899583,1.0000003854847315,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c0_sim_tfim_4q_4steps_r3_seed3023,simulation,aggregate_ready,25349.842269974117,factory,9.994019227437986,9.994019227437986,1.0,1.000059076484712,1.0000003845899583,1.0000003854847315,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_chem_h2_l1_grid25_r1_seed1043,chemistry,aggregate_ready,36055623.46880782,factory,9.990181625337117,9.990181625337117,1.0000977881629742,1.0000927877561545,1.0000049994789935,1.0000005010756965,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r0_seed17,ml,aggregate_ready,2687559.625835721,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r0_seed23,ml,aggregate_ready,37200.4199185288,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r0_seed31,ml,aggregate_ready,3070412.3736915765,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
