file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongnative_1node_int_20260704012008_c1_chem_4q_grid13_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00018127099610865116,exact_diagonalization_numpy,,0,6.884845664026216,37980.955651060365,-1.705732892552902,-1.2281036714213251,0.4776292211315769,232,87,116,29,strongnative_1node_int_20260704012008_c1,6.897654497995973,23,72,4,3,synthetic,"0,1,2",,1,13,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_chem_4q_grid13_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c1_chem_h2_grid17_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015462900046259165,exact_diagonalization_numpy,,0,6.39054492698051,41328.2431359086,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,strongnative_1node_int_20260704012008_c1,6.3975041810190305,23,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_chem_h2_grid17_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c1_chem_h2_grid21_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015461898874491453,exact_diagonalization_numpy,,0,6.738309042004403,43580.08739224811,-1.85727503020238,-1.8539259190122395,0.0033491111901404746,1944,486,972,486,strongnative_1node_int_20260704012008_c1,6.744879897974897,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_chem_h2_grid21_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_128s_4q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.00016621197573840618,linear_ridge_numpy,linear_ridge_numpy,6,19.74970728805056,118822.40855576957,1.0,0.71875,0.28125,2048,768,512,128,strongnative_1node_int_20260704012008_c1,19.976921321009286,17,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_128s_4q_d2_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_128s_6q_d2_seed23.json,ml,multiclass_ml,test_accuracy,0.0008261569892056286,knn_numpy,knn_numpy,6,6.903102360025514,8355.678702982379,1.0,0.59375,0.40625,3072,1280,768,128,strongnative_1node_int_20260704012008_c1,6.995332501945086,23,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_128s_6q_d2_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_128s_8q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.00015780498506501317,nearest_centroid_numpy,nearest_centroid_numpy,6,7.67889224801911,48660.64430636033,1.0,0.6875,0.3125,4096,1792,1024,128,strongnative_1node_int_20260704012008_c1,7.773461437027436,17,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_128s_8q_d2_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_192s_4q_d2_seed23.json,ml,multiclass_ml,test_accuracy,0.0015646860119886696,knn_numpy,knn_numpy,6,6.877942015009467,4395.733049513114,1.0,0.6875,0.3125,3072,1152,768,192,strongnative_1node_int_20260704012008_c1,6.9845111350296065,23,192,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_192s_4q_d2_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_192s_6q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.0001958379871211946,nearest_centroid_numpy,nearest_centroid_numpy,6,7.270829429035075,37126.757356505674,1.0,0.7708333333333334,0.22916666666666663,4608,1920,1152,192,strongnative_1node_int_20260704012008_c1,7.385219538002275,17,192,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_192s_6q_d2_seed17.json,ok
practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_192s_8q_d2_seed23.json,ml,multiclass_ml,test_accuracy,0.0015913270181044936,knn_numpy,knn_numpy,6,7.673495516995899,4822.073294611795,1.0,0.6458333333333334,0.35416666666666663,6144,2688,1536,192,strongnative_1node_int_20260704012008_c1,7.7909579629777,23,192,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_192s_8q_d2_seed23.json,ok
practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_256s_4q_d2_seed17.json,ml,multiclass_ml,test_accuracy,0.014132378972135484,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.488104788993951,529.8545137912089,0.984375,0.59375,0.390625,4096,1536,1024,256,strongnative_1node_int_20260704012008_c1,7.611743514018599,17,256,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_1node_int_20260704012008_c1_ml_digits_c0v1v2_256s_4q_d2_seed17.json,ok
