file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongnative_4node_large128c0c15_20260704024223_c3_chem_4q_l1_grid13_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017642101738601923,exact_diagonalization_numpy,,0,40.149841194972396,227579.6942442649,-1.705732892552902,-1.1901014927052382,0.5156313998476638,232,87,116,29,strongnative_4node_large128c0c15_20260704024223_c3,40.31887719401857,2023,72,4,3,synthetic,"0,1,2",,1,13,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_chem_4q_l1_grid13_r2_seed2023.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_chem_h2_l1_grid33_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015271702432073653,exact_diagonalization_numpy,,0,7.552873856009683,49456.659397364405,-1.85727503020238,-1.8569734051608102,0.0003016250415697197,4632,1158,2316,1158,strongnative_4node_large128c0c15_20260704024223_c3,7.55963813100243,17,72,4,3,synthetic,"0,1,2",,1,33,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_chem_h2_l1_grid33_r0_seed17.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00016568100545555353,linear_ridge_numpy,linear_ridge_numpy,6,11.21311867100303,67678.96319901994,1.0,0.65625,0.34375,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,11.448397341999225,17,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed17.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.0008437850046902895,knn_numpy,knn_numpy,6,7.569813388981856,8971.25849227476,1.0,0.59375,0.40625,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,7.669831139995949,23,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed23.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.00015553098637610674,nearest_centroid_numpy,nearest_centroid_numpy,6,7.82054935200722,50282.902039182605,1.0,0.75,0.25,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,7.921351932018297,31,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed31.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.00015756601351313293,nearest_centroid_numpy,nearest_centroid_numpy,6,7.158564583980478,45432.16157070459,1.0,0.84375,0.15625,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,7.251862654986326,43,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r0_seed43.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.0008744370134081692,knn_numpy,knn_numpy,6,7.151695553009631,8178.628584276736,1.0,0.65625,0.34375,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,7.244789257005323,1017,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1017.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.012306346005061641,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.38503449599375,600.0996959581878,0.96875,0.59375,0.375,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,7.4782211300043855,1023,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1023.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.00013824799680151045,nearest_centroid_numpy,nearest_centroid_numpy,6,7.440696748992195,53821.371167317346,0.96875,0.78125,0.1875,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,7.536511554004392,1031,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1031.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.0001560030214022845,nearest_centroid_numpy,nearest_centroid_numpy,6,7.54773172098794,48381.95858735728,1.0,0.8125,0.1875,3072,1280,768,128,strongnative_4node_large128c0c15_20260704024223_c3,7.65125090899528,1043,128,6,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c3_ml_digits_c0v1v2_128s_6q_d2_r1_seed1043.json,ok
