file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_chem_h2_l1_grid21_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015215401072055101,exact_diagonalization_numpy,,0,7.562125656986609,49700.46876303087,-1.85727503020238,-1.8539259190122395,0.0033491111901404746,1944,486,972,486,strongnative_2node_large128c0c7_fix_20260704022146_c1,7.568507529009366,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_chem_h2_l1_grid21_r0_seed17.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_chem_h2_l1_grid33_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015542999608442187,exact_diagonalization_numpy,,0,7.734917031979421,49764.6350565318,-1.85727503020238,-1.8569734051608102,0.0003016250415697197,4632,1158,2316,1158,strongnative_2node_large128c0c7_fix_20260704022146_c1,7.741527005011449,2023,72,4,3,synthetic,"0,1,2",,1,33,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_chem_h2_l1_grid33_r2_seed2023.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00014438899233937263,linear_ridge_numpy,linear_ridge_numpy,6,14.885645675007254,103094.04777907138,1.0,0.71875,0.28125,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,15.141597153007751,17,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed17.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.00013644300634041429,nearest_centroid_numpy,nearest_centroid_numpy,6,8.10483664702042,59400.89466219695,1.0,0.59375,0.40625,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,8.197589916002471,23,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed23.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.00014359698980115354,linear_ridge_numpy,linear_ridge_numpy,6,7.40375046301051,51559.231661212965,1.0,0.65625,0.34375,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,7.495399889972759,31,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed31.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.00014004998956806958,linear_ridge_numpy,linear_ridge_numpy,6,7.489108715002658,53474.53961331906,1.0,0.8125,0.1875,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,7.581140683003468,43,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r0_seed43.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.00018216200987808406,nearest_centroid_numpy,nearest_centroid_numpy,6,7.484020886011422,41084.42199896821,1.0,0.6875,0.3125,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,7.574009466014104,1017,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1017.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.011463564005680382,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.4810150359990075,652.5906805503108,1.0,0.5,0.5,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,7.571215112984646,1023,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1023.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.000830963981570676,knn_numpy,knn_numpy,6,7.511684825993143,9039.723733626415,1.0,0.75,0.25,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,7.602434002008522,1031,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1031.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.011465657007647678,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,8.169804982986534,712.5457335360035,1.0,0.8125,0.1875,2048,768,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c1,8.26404023799114,1043,128,4,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c1_ml_digits_c0v1v2_128s_4q_d2_r1_seed1043.json,ok
