file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongnative_4node_large128c0c15_20260704024223_c8_chem_h2_l2_grid21_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00016823498299345374,exact_diagonalization_numpy,,0,7.03219197402359,41799.819804999905,-1.85727503020238,-1.8369679912029844,0.020307038999395566,360,90,90,45,strongnative_4node_large128c0c15_20260704024223_c8,7.041317043011077,17,72,4,3,synthetic,"0,1,2",,1,21,2,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_chem_h2_l2_grid21_r0_seed17.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_chem_h2_l2_grid33_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014824699610471725,exact_diagonalization_numpy,,0,7.047772791003808,47540.746026485904,-1.85727503020238,-1.8369679912029844,0.020307038999395566,552,138,138,69,strongnative_4node_large128c0c15_20260704024223_c8,7.060734899016097,2023,72,4,3,synthetic,"0,1,2",,1,33,2,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_chem_h2_l2_grid33_r2_seed2023.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.012588734010932967,softmax_regression_numpy,softmax_regression_numpy,6,10.543595358001767,837.542150691638,1.0,0.8541666666666666,0.14583333333333337,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,10.797493938007392,17,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed17.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.0015874089731369168,knn_numpy,knn_numpy,6,6.852519556006882,4316.795275804354,1.0,0.75,0.25,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,6.991670818009879,23,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed23.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.0015542639885097742,knn_numpy,knn_numpy,6,6.754123455990339,4345.544583109193,1.0,0.7708333333333334,0.22916666666666663,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,6.870569688006071,31,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed31.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.0016344999894499779,knn_numpy,knn_numpy,6,6.691919770993991,4094.169357104661,1.0,0.7708333333333334,0.22916666666666663,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,6.804901194991544,43,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r0_seed43.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.0015802450070623308,knn_numpy,knn_numpy,6,7.0461107440060005,4458.87233467973,0.9791666666666666,0.75,0.22916666666666663,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,7.164097594999475,1017,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1017.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.0015636119933333248,knn_numpy,knn_numpy,6,6.7002154479851015,4285.0882933569155,1.0,0.8125,0.1875,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,6.809574058017461,1023,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1023.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.00014631301746703684,linear_ridge_numpy,linear_ridge_numpy,6,7.1873254450038075,49122.939089292275,1.0,0.7083333333333334,0.29166666666666663,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,7.294089981005527,1031,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1031.json,ok
practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.013073131995042786,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.054164514003787,539.59254115071,1.0,0.9166666666666666,0.08333333333333337,1536,576,768,192,strongnative_4node_large128c0c15_20260704024223_c8,7.164572070993017,1043,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_4node_large128c0c15_20260704024223_c8_ml_digits_c0v1v2_192s_4q_d1_r1_seed1043.json,ok
