file,samples,pca_dim,feature_depth,vqc_iterations,seed,native_best_accuracy,native_best_runtime_sec,quantum_kernel_accuracy,quantum_kernel_runtime_sec,quantum_kernel_required_speedup,qnn_vqc_accuracy,qnn_vqc_runtime_sec,qnn_vqc_required_speedup
data/raw/perlmutter/digits_shared/digits_55414571_128s_4p_d1_i3_seed11.json,128,4,1,3,11,1.0,0.011096239999460522,1.0,10.498892673000228,946.1666901140084,0.65625,0.26250920700113056,23.657491818300006
data/raw/perlmutter/digits_shared/digits_55414571_128s_4p_d1_i3_seed13.json,128,4,1,3,13,1.0,0.011067927996919025,1.0,9.427377842999704,851.7744103163664,0.8125,0.26303249800548656,23.76528814415009
data/raw/perlmutter/digits_shared/digits_55414571_128s_4p_d2_i3_seed11.json,128,4,2,3,11,1.0,0.010531744999752846,1.0,9.58097761800309,909.7236610103959,0.90625,0.35777302399947075,33.97091593158274
data/raw/perlmutter/digits_shared/digits_55414571_128s_4p_d2_i3_seed13.json,128,4,2,3,13,1.0,0.010644706002494786,0.9375,9.61755789900053,903.5062026838953,0.84375,0.34601795399794355,32.50610715945069
data/raw/perlmutter/digits_shared/digits_55414571_128s_8p_d1_i2_seed11.json,128,8,1,2,11,1.0,0.010757943004136905,1.0,9.238958745001582,858.8034665594337,0.65625,0.3528193529928103,32.79617235907791
data/raw/perlmutter/digits_shared/digits_55414571_128s_8p_d1_i2_seed13.json,128,8,1,2,13,1.0,0.011107362995971926,1.0,9.353055307001341,842.059029707881,0.8125,0.35157908899418544,31.65279545844367
data/raw/perlmutter/digits_shared/digits_55414571_64s_12p_d1_i2_seed11.json,64,12,1,2,11,1.0,0.010805958998389542,1.0,9.575654546002625,886.1457411998069,0.9375,0.27681574400048703,25.61695302024948
data/raw/perlmutter/digits_shared/digits_55414571_64s_4p_d1_i3_seed11.json,64,4,1,3,11,1.0,0.010725485000875778,1.0,26.722466259998328,2491.4925765889684,0.8125,0.16094573699956527,15.005916933959016
data/raw/perlmutter/digits_shared/digits_55414571_64s_4p_d1_i3_seed13.json,64,4,1,3,13,1.0,0.010519658993871417,1.0,9.78995885799668,930.6346207324925,0.9375,0.1384374779954669,13.159882661226789
data/raw/perlmutter/digits_shared/digits_55414571_64s_8p_d1_i3_seed11.json,64,8,1,3,11,1.0,0.010073865996673703,1.0,9.067188193999755,900.0703599783495,0.875,0.2537981010027579,25.19371421920439
data/raw/perlmutter/digits_shared/digits_55414571_64s_8p_d1_i3_seed13.json,64,8,1,3,13,1.0,0.012441140002920292,1.0,9.76554662900162,784.939854925623,0.9375,0.24349902399990242,19.572082939565522
data/raw/perlmutter/digits_shared/digits_55414571_96s_12p_d1_i2_seed11.json,96,12,1,2,11,1.0,0.011069408996263519,0.9166666666666666,10.024810128001263,905.6319204923352,0.5833333333333334,0.3757711010039202,33.946807921792555
data/raw/perlmutter/digits_shared/digits_55414571_96s_4p_d1_i3_seed11.json,96,4,1,3,11,1.0,0.010270747996401042,1.0,11.066383192002831,1077.4661393581644,0.625,0.2059857119966182,20.055570642838997
data/raw/perlmutter/digits_shared/digits_55414571_96s_4p_d1_i3_seed13.json,96,4,1,3,13,1.0,0.010319565000827424,0.875,9.574310077005066,927.7823315456995,0.9583333333333334,0.23189657799957786,22.471545843355255
data/raw/perlmutter/digits_shared/digits_55414571_96s_4p_d2_i3_seed11.json,96,4,2,3,11,1.0,0.01062242100306321,0.9166666666666666,10.13457303299947,954.0737492966002,0.6666666666666666,0.2700772850002977,25.425210027207072
data/raw/perlmutter/digits_shared/digits_55414571_96s_4p_d2_i3_seed13.json,96,4,2,3,13,1.0,0.01063391500065336,0.9583333333333334,9.936387822999677,934.4054209939777,0.875,0.28115598099975614,26.43955504463611
data/raw/perlmutter/digits_shared/digits_55414571_96s_8p_d1_i3_seed11.json,96,8,1,3,11,1.0,0.010865852003917098,0.9583333333333334,8.995094855999923,827.8315269485748,0.6666666666666666,0.32058667600358604,29.504053238348522
data/raw/perlmutter/digits_shared/digits_55414571_96s_8p_d1_i3_seed13.json,96,8,1,3,13,1.0,0.010425268999824766,0.9583333333333334,9.933107567994739,952.7914884653528,0.9583333333333334,0.36116086399852065,34.64283406064546
