file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status,quality_tolerance,measurement_fraction,taxonomy,taxonomy_reason
practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015247403644025326,exact_diagonalization_numpy,,0,7.3774308020365424,48384.833078957534,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,strongnative_32node_large128c0c127_20260704060230_c0,7.387298093002755,17,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid17_r0_seed17.json,ok,0.01,0.2857142857142857,quality-limited,quality_gap>0.01
practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid25_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015286600682884455,exact_diagonalization_numpy,,0,7.361404247989412,48155.92688459221,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,strongnative_32node_large128c0c127_20260704060230_c0,7.368687281967141,2023,72,4,3,synthetic,"0,1,2",,1,25,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_chem_h2_l1_grid25_r2_seed2023.json,ok,0.01,0.2857142857142857,speed-limited,quality_ok_runtime_dominates
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.0001646980526857078,linear_ridge_numpy,linear_ridge_numpy,6,13.845152707013767,84063.85188678812,1.0,0.6875,0.3125,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,14.084002010000404,17,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.00013516104081645608,nearest_centroid_numpy,nearest_centroid_numpy,6,7.63214188197162,56467.0250825887,1.0,0.75,0.25,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,7.729991436994169,23,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.00014229502994567156,linear_ridge_numpy,linear_ridge_numpy,6,7.073584166006185,49710.690308065496,1.0,0.8125,0.1875,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,7.169044394046068,31,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.0001565529964864254,linear_ridge_numpy,linear_ridge_numpy,6,6.868367528019007,43872.47566107468,1.0,0.84375,0.15625,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,6.966388415021356,43,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.00016970804426819086,nearest_centroid_numpy,nearest_centroid_numpy,6,6.952055283007212,40964.79523398919,1.0,0.75,0.25,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,7.048665664973669,1017,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.012008518970105797,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,6.885811642976478,573.4105646265064,1.0,0.8125,0.1875,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,6.984141428023577,1023,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.0008293830323964357,knn_numpy,knn_numpy,6,6.810392318002414,8211.395762853179,1.0,0.78125,0.21875,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,6.9039623129647225,1031,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.011945697013288736,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.170795698999427,600.2827370409972,1.0,0.90625,0.09375,1024,384,512,128,strongnative_32node_large128c0c127_20260704060230_c0,7.265003687003627,1043,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ok,0.02,0.26666666666666666,quality-limited,quality_gap>0.02
