case_id,digits_classes,ml_samples,ml_features,ml_depth,seed,quantum_runtime_sec,previous_native_runtime_sec,previous_required_speedup,combined_model,combined_runtime_sec,combined_quality,combined_required_speedup,production_model,production_runtime_sec,production_quality,production_required_speedup
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,"0,1,2",128,4,1,17,13.845152707013767,0.0001646980526857078,84063.85188678812,suite_previous_selected,0.0001646980526857078,1.0,84063.85188678812,xgboost_gpu_hist_pca,0.20297598699107766,1.0,68.21079139584313
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,"0,1,2",128,4,1,23,7.63214188197162,0.00013516104081645608,56467.0250825887,suite_previous_selected,0.00013516104081645608,1.0,56467.0250825887,torch_mlp_amp_pca,0.059641406987793744,1.0,127.96716689687787
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,"0,1,2",128,4,1,31,7.073584166006185,0.00014229502994567156,49710.690308065496,suite_previous_selected,0.00014229502994567156,1.0,49710.690308065496,torch_mlp_amp_pca,0.06963061599526554,1.0,101.58726969307791
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,"0,1,2",128,4,1,43,6.868367528019007,0.0001565529964864254,43872.47566107468,suite_previous_selected,0.0001565529964864254,1.0,43872.47566107468,xgboost_gpu_hist_pca,0.06099752301815897,1.0,112.60076127967186
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,"0,1,2",128,4,1,1017,6.952055283007212,0.00016970804426819086,40964.79523398919,suite_previous_selected,0.00016970804426819086,1.0,40964.79523398919,torch_mlp_amp_pca,0.10482868697727099,1.0,66.3182520307114
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,"0,1,2",128,4,1,1023,6.885811642976478,0.012008518970105797,573.4105646265064,suite_previous_selected,0.012008518970105797,1.0,573.4105646265064,torch_cnn_amp_raw,0.1236870390130207,0.96875,55.671246542263816
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,"0,1,2",128,4,1,1031,6.810392318002414,0.0008293830323964357,8211.395762853179,suite_previous_selected,0.0008293830323964357,1.0,8211.395762853179,torch_cnn_amp_raw,0.11034032399766147,1.0,61.72169947721698
practical_strongnative_32node_large128c0c127_20260704060230_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,"0,1,2",128,4,1,1043,7.170795698999427,0.011945697013288736,600.2827370409972,suite_previous_selected,0.011945697013288736,1.0,600.2827370409972,torch_cnn_amp_raw,0.07237336598336697,1.0,99.08058857795059
