JobID|JobName|State|ExitCode|Elapsed|Submit|Start|End|AllocTRES
55804478_28.batch|batch|COMPLETED|0:0|00:59:53|2026-07-12T01:06:30|2026-07-12T01:06:30|2026-07-12T02:06:23|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_28.extern|extern|COMPLETED|0:0|00:59:53|2026-07-12T01:06:30|2026-07-12T01:06:30|2026-07-12T02:06:23|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_29|qsup-d1split|COMPLETED|0:0|00:59:10|2026-07-11T15:45:48|2026-07-12T01:06:30|2026-07-12T02:05:40|billing=32,cpu=32,energy=1963869,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_29.batch|batch|COMPLETED|0:0|00:59:10|2026-07-12T01:06:30|2026-07-12T01:06:30|2026-07-12T02:05:40|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_29.extern|extern|COMPLETED|0:0|00:59:10|2026-07-12T01:06:30|2026-07-12T01:06:30|2026-07-12T02:05:40|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_30|qsup-d1split|COMPLETED|0:0|00:58:59|2026-07-11T15:45:48|2026-07-12T01:06:50|2026-07-12T02:05:49|billing=32,cpu=32,energy=1948380,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_30.batch|batch|COMPLETED|0:0|00:58:59|2026-07-12T01:06:50|2026-07-12T01:06:50|2026-07-12T02:05:49|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_30.extern|extern|COMPLETED|0:0|00:58:59|2026-07-12T01:06:50|2026-07-12T01:06:50|2026-07-12T02:05:49|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_31|qsup-d1split|COMPLETED|0:0|01:01:26|2026-07-11T15:45:48|2026-07-12T01:08:17|2026-07-12T02:09:43|billing=32,cpu=32,energy=2097471,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_31.batch|batch|COMPLETED|0:0|01:01:26|2026-07-12T01:08:17|2026-07-12T01:08:17|2026-07-12T02:09:43|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_31.extern|extern|COMPLETED|0:0|01:01:26|2026-07-12T01:08:17|2026-07-12T01:08:17|2026-07-12T02:09:43|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
